																	Proper	Radial
		Spectral Class		V			M_V		R.	A.		Dec.			Parallax	Distance	Motion	Velocity
Name	Star	A	B	A		B	A	B	(h	m	s)	(deg	min	sec)	(arcsec)	(pc)	(arcsec/yr)	(km/s)
Sirius	alpha CMa	A1V	wd	-1.44		8.7	1.45	11.6	6	45	8.92	-16	41	58	0.37921	2.64	1.33942	-7.7
Canopus	alpha Car	F0Ib		-0.62			-5.53		6	23	57.11	-52	41	44.4	0.01043	95.88	0.03098	20.5
Arcturus	alpha Boo	K2II Ip		-0.05			-0.31		14	15	39.67	19	10	56.7	0.08885	11.26	2.27887	-5.2
Rigel Kentaurus	alpha Cen	G2V	K0V	-0.01		1.3	4.34	5.7	14	39	36.5	-60	50	2.3	0.74212	1.35	3.70962	-24.6
Vega	alpha Lyr	A0V		0.03			0.58		18	36	56.34	38	47	1.3	0.12893	7.76	0.35077	-13.9
Capella	alpha Aur	M1III	M1V	0.08		10.2	-0.48	9.5	5	16	41.36	45	59	52.8	0.07729	12.94	0.43375	30.2
Rigel	beta  Ori	B8Ia	B9	0.18		6.6	-6.69	-0.4	5	14	32.27	-8	12	5.9	0.00422	237	0.00195	20.7
Procyon	alpha CMi	F5IV-V	wd	0.4		10.7	2.68	13	7	39	18.12	5	13	30	0.28593	3.5	1.2585	-3.2
Betelgeuse	alpha Ori	M2Ib		0.45	v		-5.14		5	55	10.31	7	24	25.4	0.00763	131	0.02941	21
Achernar	alpha Eri	B3Vp		0.45			-2.77		1	37	42.85	-57	14	12.3	0.02268	44.09	0.09672	19
Hadar	beta  Cen	B1III	?	0.61		4	-5.42	-0.8	14	3	49.4	-60	22	22.9	0.00621	161	0.04221	-12
Altair	alpha Aql	A7IV-V		0.76			2.2		19	50	47	8	52	6	0.19444	5.14	0.66092	-26.3
Acrux	alpha Cru	B0.5IV	B3	0.77		1.9	-4.19	-3.5	12	26	35.9	-63	5	56.7	0.01017	98.33	0.03831	-11.2
Aldebaran	alpha Tau	K5III	M2V	0.87		13	-0.63	12	4	35	55.24	16	30	33.5	0.05009	19.96	0.1995	54.1
Spica	alpha Vir	B1V		0.98	v		-3.55		13	25	11.58	-11	9	40.8	0.01244	80.39	0.05304	1
Antares	alpha Sco	M1Ib	B4eV	1.06	v	5.1	-5.58	-0.3	16	29	24.46	-26	25	55.2	0.0054	185	0.02534	-3.2
Pollux	beta  Gem	K0III		1.16			1.09		7	45	18.95	28	1	34.3	0.09674	10.34	0.62737	3.3
Fomalhaut	alpha PsA	A3V	K4V	1.17		6.5	1.74	7.3	22	57	39.05	-29	37	20.1	0.13008	7.69	0.3679	6.5
Deneb	alpha Cyg	A2Ia		1.25			-8.73		20	41	25.91	45	16	49.2	0.00101	990	0.0022	-4.6
Mimosa	beta  Cru	B0.5III	B2V	1.25	v		-3.92		12	47	43.26	-59	41	19.5	0.00925	108	0.04991	10.3
