Element,Z,A,Anders89,Asplund09,Feldman92,Anders82,Grevesse98,Wilms00,Lodders03
H,1,1.00794,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
He,2,4.002602,9.77E-02,8.51E-02,9.77E-02,8.01E-02,8.51E-02,9.77E-02,7.92E-02
Li,3,6.941,1.45E-11,1.12E-11,1.26E-11,2.19E-09,1.26E-11,0,1.90E-09
Be,4,9.012182,1.41E-11,2.40E-11,2.51E-11,2.87E-11,2.51E-11,0,2.57E-11
B,5,10.811,3.98E-10,5.01E-10,3.55E-10,8.82E-10,3.55E-10,0,6.03E-10
C,6,12.011,3.63E-04,2.69E-04,3.98E-04,4.45E-04,3.31E-04,2.40E-04,2.45E-04
N,7,14.00674,1.12E-04,6.76E-05,1.00E-04,9.12E-05,8.32E-05,7.59E-05,6.76E-05
O,8,15.9994,8.51E-04,4.90E-04,8.51E-04,7.39E-04,6.76E-04,4.90E-04,4.90E-04
F,9,18.9984,3.63E-08,3.63E-08,3.63E-08,3.10E-08,3.63E-08,0,2.88E-08
Ne,10,20.1797,1.23E-04,8.51E-05,1.29E-04,1.38E-04,1.20E-04,8.71E-05,7.41E-05
Na,11,22.98977,2.14E-06,1.74E-06,2.14E-06,2.10E-06,2.14E-06,1.45E-06,1.99E-06
Mg,12,24.305,3.80E-05,3.98E-05,3.80E-05,3.95E-05,3.80E-05,2.51E-05,3.55E-05
Al,13,26.98154,2.95E-06,2.82E-06,2.95E-06,3.12E-06,2.95E-06,2.14E-06,2.88E-06
Si,14,28.0855,3.55E-05,3.24E-05,3.55E-05,3.68E-05,3.55E-05,1.86E-05,3.47E-05
P,15,30.97376,2.82E-07,2.57E-07,2.82E-07,3.82E-07,2.82E-07,2.63E-07,2.88E-07
S,16,32.066,1.62E-05,1.32E-05,1.62E-05,1.89E-05,2.14E-05,1.23E-05,1.55E-05
Cl,17,35.4527,3.16E-07,3.16E-07,3.16E-07,1.93E-07,3.16E-07,1.32E-07,1.82E-07
Ar,18,39.948,3.63E-06,2.51E-06,4.47E-06,3.82E-06,2.51E-06,2.57E-06,3.55E-06
K,19,39.0983,1.32E-07,1.07E-07,1.32E-07,1.39E-07,1.32E-07,0,1.29E-07
Ca,20,40.078,2.29E-06,2.19E-06,2.29E-06,2.25E-06,2.29E-06,1.58E-06,2.19E-06
Sc,21,44.95591,1.26E-09,1.41E-09,1.48E-09,1.24E-09,1.48E-09,0,1.17E-09
Ti,22,47.88,9.77E-08,8.91E-08,1.05E-07,8.82E-08,1.05E-07,6.46E-08,8.32E-08
V,23,50.9415,1.00E-08,8.51E-09,1.00E-08,1.08E-08,1.00E-08,0,1.00E-08
Cr,24,51.9961,4.68E-07,4.37E-07,4.68E-07,4.93E-07,4.68E-07,3.24E-07,4.47E-07
Mn,25,54.93805,2.45E-07,2.69E-07,2.45E-07,3.50E-07,2.45E-07,2.19E-07,3.16E-07
Fe,26,55.847,4.68E-05,3.16E-05,3.24E-05,3.31E-05,3.16E-05,2.69E-05,2.95E-05
Co,27,58.9332,8.32E-08,9.77E-08,8.32E-08,8.27E-08,8.32E-08,8.32E-08,8.13E-08
Ni,28,58.6934,1.78E-06,1.66E-06,1.78E-06,1.81E-06,1.78E-06,1.12E-06,1.66E-06
Cu,29,63.546,1.62E-08,1.55E-08,1.62E-08,1.89E-08,1.62E-08,0,1.82E-08
Zn,30,65.39,3.98E-08,3.63E-08,3.98E-08,4.63E-08,3.98E-08,0,4.27E-08
