                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      6.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                                   radius                        dynamic_timescale                        max_Lrad_div_Ledd                            gamma_es_surf                              r_div_rzams                              r_div_rcore 
                                       1                  3.5860956909327943E+000                  6.0000000000000000E+001                  5.5462187404089103E-001                  3.5076829700943826E+001                 -9.8999999999999986E+001                                     1244                  4.2935550271110529E+001                  7.1475834142239836E-001                  7.8131778809969753E-008                  7.3564894440424677E-001                  7.2146391707537183E-001                  7.3564894440424677E-001                  7.8131778809969753E-008                  9.9750024234276158E-001                  9.9715476302243888E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6168318312689468E+034                  6.5832332698274958E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8619406968254291E+000                 -2.4826573827259480E+001                 -9.8999999999999986E+001                  5.8619406968254291E+000                  4.6746330028794922E+000                  5.3178300096064806E+005                  5.7257344505078018E+000                  1.0368600559475418E+000                  4.1423204919016845E+000                  1.3877795767263187E+004                  7.6171494142540324E+000                  3.5381573167755803E-001                  1.6299932596612674E+001                  6.1984827349217442E-001                  8.4955627460444061E-001                  1.2979957066867132E+000                  6.9911226290973272E-001                  2.8034712164655190E-001                  1.4577521279047256E-004                  9.2840517819051376E-003                  3.4416106108119994E-003                  9.3604466091399812E-003                  4.1961699647908176E+001                  1.6814473424920056E+001                  3.5713939362190992E+000                  5.8597104537736904E+000                 -2.4826573827259480E+001                 -3.3443432474259963E-006                                        0                                        0                  1.0885792605537075E+001                  4.6424585006639682E+004                  1.0339972403381466E+000                  2.3146399043099986E-001                  1.0000000000000000E+000                  1.0578753409104804E+000 
                                       2                  7.3548268968943180E+000                  6.0000000000000000E+001                  5.7619516373495827E-001                  3.5076829700943826E+001                 -9.8999999999999986E+001                                     2036                  4.0795102426234060E+001                  6.7905427080273162E-001                  7.8131780713615289E-008                  6.8971831406676376E-001                  6.8164542412559415E-001                  6.7905427080273162E-001                  7.8131780713615289E-008                  6.8971831406676376E-001                  6.8164542412559415E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6006159026651485E+034                  6.5636977058840670E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8601025103004716E+000                 -2.4828853358641961E+001                 -9.8999999999999986E+001                  5.8601025103004716E+000                  4.6746164594984139E+000                  5.3186419720418204E+005                  5.7258007564796456E+000                  1.0369262956956216E+000                  4.1421880124055255E+000                  1.3873563056326964E+004                  7.6172019911359818E+000                  3.5286168935790607E-001                  1.6299445911891677E+001                  6.1984685625582281E-001                  8.4955606448343601E-001                  1.2979962533358242E+000                  6.9911184138158677E-001                  2.8034750477223752E-001                  1.4550472397416932E-004                  9.2839674825641351E-003                  3.4416106108119916E-003                  9.3604466091399777E-003                  4.1961670686094635E+001                  1.6814494163920585E+001                  3.5719368168898034E+000                  5.8578599744050788E+000                 -2.4828853358641961E+001                  1.5897756261072140E-007                                        0                                        0                  1.0887453062168705E+001                  4.6435207423260399E+004                  1.0340138629880260E+000                  2.3149933192650166E-001                  1.0001525342886641E+000                  1.0578771086360499E+000 
                                       3                  1.1877304344048147E+001                  6.0000000000000000E+001                  6.5537640978258305E-001                  3.5076829700943826E+001                 -9.8999999999999986E+001                                     2035                  4.1928650475778902E+001                  6.9824476664970070E-001                  7.8131771301422542E-008                  9.9999999856415689E-001                  9.9999998223937014E-001                  6.9824476664970070E-001                  7.8131771301422542E-008                  9.9810641687403923E-001                  9.9787666740730951E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5935978019865836E+034                  6.5578963954448186E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8564081779464017E+000                 -2.4833373064702137E+001                 -9.9339898569113778E+000                  5.8564081779464017E+000                  4.6745791131788392E+000                  5.3175095482200081E+005                  5.7257082784027942E+000                  1.0369547492963442E+000                  4.1421311052040801E+000                  1.3871745271490056E+004                  7.6170905693435511E+000                  3.5278651468727895E-001                  1.6299160657161863E+001                  6.1985067824198592E-001                  8.4955567375289776E-001                  1.2979973298533789E+000                  6.9911106163445025E-001                  2.8034807477532364E-001                  1.4412345290632617E-004                  9.2838448747555660E-003                  3.4416106108119990E-003                  9.3604466091399760E-003                  4.1961636242849778E+001                  1.6814518979247733E+001                  3.5679854777534952E+000                  5.8541669721754213E+000                 -2.4833373064702137E+001                  5.6918756703189637E-008                                        0                                        0                  1.0888166397022331E+001                  4.6439771079368344E+004                  1.0339576598637130E+000                  2.3145004202137448E-001                  1.0002180632656963E+000                  1.0578487404928785E+000 
                                       4                  1.7304277280632743E+001                  6.0000000000000000E+001                  7.3455765583020782E-001                  3.5076829700943826E+001                 -9.8999999999999986E+001                                     2035                  4.2303511287343760E+001                  7.0474416196409273E-001                  7.8131771245025659E-008                  9.9999999856415689E-001                  9.9999998223266395E-001                  7.0474416196409273E-001                  7.8131771245025659E-008                  9.9824188073813969E-001                  9.9775557979570773E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5851211811381737E+034                  6.5508912296844377E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8519690840351357E+000                 -2.4838132130374561E+001                 -9.8999999999999986E+001                  5.8519690840351357E+000                  4.6745353917549943E+000                  5.3161774166236073E+005                  5.7255994662087870E+000                  1.0369877860470307E+000                  4.1420650317027068E+000                  1.3869634986649457E+004                  7.6170017568798993E+000                  3.5251410413665890E-001                  1.6298799889395784E+001                  6.1985388219906179E-001                  8.4955520301297371E-001                  1.2979986277286624E+000                  6.9911012241213233E-001                  2.8034875931711739E-001                  1.4244456971092417E-004                  9.2836979887418840E-003                  3.4416106108119938E-003                  9.3604466091399604E-003                  4.1961595354185690E+001                  1.6814548660383235E+001                  3.5629297411230425E+000                  5.8497310664397633E+000                 -2.4838132130374561E+001                  5.5084641002209275E-008                                        0                                        0                  1.0888994690577903E+001                  4.6445070386879604E+004                  1.0338910080843591E+000                  2.3139205963109027E-001                  1.0002941526774265E+000                  1.0578154221714726E+000 
                                       5                  2.3816644804534253E+001                  6.0000000000000000E+001                  8.1373890187783271E-001                  3.5076829700943826E+001                 -9.8999999999999986E+001                                     2035                  4.2537968850156489E+001                  7.0841971508594892E-001                  7.8131771188794794E-008                  9.9999999856415689E-001                  9.9999998222485786E-001                  7.0841971508594892E-001                  7.8131771188794794E-008                  9.9775557979570773E-001                  9.9715476302243877E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5752162194378119E+034                  6.5426905675522634E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8467836960501067E+000                 -2.4843575474706782E+001                 -9.9339898569113778E+000                  5.8467836960501067E+000                  4.6744864178365919E+000                  5.3147672342231916E+005                  5.7254842488958042E+000                  1.0370281252273446E+000                  4.1419843533420790E+000                  1.3867058680639228E+004                  7.6169001860300254E+000                  3.5220276904320252E-001                  1.6298387416170584E+001                  6.1985756919819246E-001                  8.4955464124740021E-001                  1.2980001741696918E+000                  6.9910900161389722E-001                  2.8034958193461651E-001                  1.4047398532617830E-004                  9.2835215786696030E-003                  3.4416106108119946E-003                  9.3604466091399725E-003                  4.1961546902399974E+001                  1.6814584144866831E+001                  3.5568730740503556E+000                  5.8445501754056757E+000                 -2.4843575474706782E+001                  5.6064390228356301E-008                                        0                                        0                  1.0890006155238577E+001                  4.6451541871107198E+004                  1.0338179891196200E+000                  2.3133067999972820E-001                  1.0003870687100322E+000                  1.0577797505666462E+000 
                                       6                  3.1631485833216068E+001                  6.0000000000000000E+001                  8.9292014792545749E-001                  3.5076829700943826E+001                 -9.8999999999999986E+001                                     2037                  4.2689975785804329E+001                  7.1113626923013862E-001                  7.8131771109843144E-008                  9.9999999856415689E-001                  9.9999998221568775E-001                  7.1113626923013862E-001                  7.8131771109843144E-008                  9.9722630785334443E-001                  9.9700784630043260E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5637639425519370E+034                  6.5331858333014761E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8408008956205029E+000                 -2.4849744436928063E+001                 -9.8999999999999986E+001                  5.8408008956205029E+000                  4.6744310884244964E+000                  5.3131725181792933E+005                  5.7253539176369905E+000                  1.0370736184221274E+000                  4.1418933669525133E+000                  1.3864153782009183E+004                  7.6167850853608456E+000                  3.5185017337761360E-001                  1.6297920119942901E+001                  6.1986177330325265E-001                  8.4955397778370378E-001                  1.2980019965913889E+000                  6.9910767792121253E-001                  2.8035056292452648E-001                  1.3820189832309193E-004                  9.2833113845339366E-003                  3.4416106108119959E-003                  9.3604466091399639E-003                  4.1961489600477677E+001                  1.6814626546398365E+001                  3.5497278033635862E+000                  5.8385733607546850E+000                 -2.4849744436928063E+001                  5.2704454464597796E-008                                        0                                        0                  1.0891146964392105E+001                  4.6458841279098975E+004                  1.0337343147631683E+000                  2.3126126835278610E-001                  1.0004918666971763E+000                  1.0577394463004239E+000 
                                       7                  4.1009295067634241E+001                  6.0000000000000000E+001                  9.7210139397308226E-001                  3.5076829700943826E+001                 -9.8999999999999986E+001                                     2037                  4.2785802747805668E+001                  7.1294730532626482E-001                  7.8131770944216320E-008                  9.9999999856415689E-001                  9.9999998220535102E-001                  7.1294730532626482E-001                  7.8131770944216320E-008                  9.9875033944849279E-001                  9.9847146154516753E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5505847576010998E+034                  6.5222836575449264E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8339406056541669E+000                 -2.4856656501094992E+001                 -9.9339898569113778E+000                  5.8339406056541669E+000                  4.6743688111792840E+000                  5.3113600472759292E+005                  5.7252057424368621E+000                  1.0371240853124886E+000                  4.1417924331717915E+000                  1.3860932007575466E+004                  7.6166561330196227E+000                  3.5145531573922001E-001                  1.6297396677132589E+001                  6.1986652245485419E-001                  8.4955319405233520E-001                  1.2980041437407543E+000                  6.9910611427815961E-001                  2.8035173511614420E-001                  1.3559623527131126E-004                  9.2830604510372831E-003                  3.4416106108119955E-003                  9.3604466091399673E-003                  4.1961421977636043E+001                  1.6814677187807384E+001                  3.5413194070696279E+000                  5.8317210173166023E+000                 -2.4856656501094992E+001                  4.8737533918839387E-008                                        0                                        0                  1.0892412636140893E+001                  4.6466940061265530E+004                  1.0336381631372413E+000                  2.3118237870285838E-001                  1.0006081349189448E+000                  1.0576937687913253E+000 
                                       8                  5.2262666148936056E+001                  6.0000000000000000E+001                  1.0512826400207071E+000                  3.5076829700943826E+001                 -9.8999999999999986E+001                                     2037                  4.2831809118870545E+001                  7.1385282337432798E-001                  7.8131770908907183E-008                  9.9999999856415689E-001                  9.9999998219382613E-001                  7.1386348531450916E-001                  7.8131770908907183E-008                  9.9842203462500445E-001                  9.9799356575051923E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5355982802598683E+034                  6.5097972693442414E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8261544451520155E+000                 -2.4864296034680727E+001                 -9.4568686021917170E+000                  5.8261544451520155E+000                  4.6743001544826006E+000                  5.3093719903662417E+005                  5.7250431543680529E+000                  1.0371801046714508E+000                  4.1416803944538669E+000                  1.3857356643812236E+004                  7.6165136262391622E+000                  3.5101907285989747E-001                  1.6296818264625273E+001                  6.1987182524821538E-001                  8.4955227160177760E-001                  1.2980066630047180E+000                  6.9910427385512519E-001                  2.8035313362609243E-001                  1.3263983569550823E-004                  9.2827613635632026E-003                  3.4416106108119899E-003                  9.3604466091399691E-003                  4.1961342356610828E+001                  1.6814737640677851E+001                  3.5314851258112219E+000                  5.8239453262931091E+000                 -2.4864296034680727E+001                  4.5098838013541509E-008                                        0                                        0                  1.0893817731886502E+001                  4.6475931541047066E+004                  1.0335306532110096E+000                  2.3109584649241000E-001                  1.0007372110272748E+000                  1.0576436546648720E+000 
                                       9                  6.5766711446498235E+001                  6.0000000000000000E+001                  1.1304638860683318E+000                  3.5076829700943826E+001                 -9.8999999999999986E+001                                     2037                  4.2847191547934010E+001                  7.1385282337432798E-001                  7.8131770852672930E-008                  9.9999999856415689E-001                  9.9999998218108932E-001                  7.1564620273135093E-001                  7.8131770852672930E-008                  9.9781665633840488E-001                  9.9729660672664866E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5186863427882293E+034                  6.4956708806850186E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8173909847291743E+000                 -2.4872595044161251E+001                 -9.8999999999999986E+001                  5.8173909847291743E+000                  4.6742262383483313E+000                  5.3072600691561808E+005                  5.7248703696780119E+000                  1.0372415445949688E+000                  4.1415575146068306E+000                  1.3853436379881688E+004                  7.6163588367096411E+000                  3.5054529439911974E-001                  1.6296190002554695E+001                  6.1987766672984868E-001                  8.4955118523902473E-001                  1.2980096191464254E+000                  6.9910210637436920E-001                  2.8035480625269393E-001                  1.2930831150510515E-004                  9.2824040385344701E-003                  3.4416106108119907E-003                  9.3604466091399621E-003                  4.1961248834923779E+001                  1.6814809774304635E+001                  3.5199977068133230E+000                  5.8151957133936465E+000                 -2.4872595044161251E+001                  4.1234408866605835E-008                                        0                                        0                  1.0895358996403157E+001                  4.6485795058065320E+004                  1.0334136786289232E+000                  2.3100392296159511E-001                  1.0008787959878289E+000                  1.0575903123440180E+000 
